_id,error,mode,plug_exist,plug_mode,plug_pow,power_count,powerdata
ObjectId(5bbebf7e24aa9a0e4ad4213c),0,GET_POW," 0"," 1"," 1"," 1",2912
ObjectId(5bbebf7e24aa9a0e4ad4213b),0,GET_POW," 0"," 1"," 1"," 1",2910
ObjectId(5bbebf7f24aa9a0e4ad4213d),0,GET_POW," 0"," 1"," 1"," 1",2912
ObjectId(5bbebf7f24aa9a0e4ad4213e),0,GET_POW," 0"," 1"," 1"," 1",2910
ObjectId(5bbebf8024aa9a0e4ad4213f),0,GET_POW," 0"," 1"," 1"," 1",2909
ObjectId(5bbebf8024aa9a0e4ad42140),0,GET_POW," 0"," 1"," 1"," 1",2910
ObjectId(5bbebf8124aa9a0e4ad42141),0,GET_POW," 0"," 1"," 1"," 1",2907
ObjectId(5bbebf8124aa9a0e4ad42142),0,GET_POW," 0"," 1"," 1"," 1",2909
ObjectId(5bbebf8224aa9a0e4ad42143),0,GET_POW," 0"," 1"," 1"," 1",399
ObjectId(5bbebf8224aa9a0e4ad42144),0,GET_POW," 0"," 1"," 1"," 1",2905
ObjectId(5bbebf8324aa9a0e4ad42145),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8324aa9a0e4ad42147),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8324aa9a0e4ad42146),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8424aa9a0e4ad42148),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8524aa9a0e4ad42149),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8524aa9a0e4ad4214a),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8624aa9a0e4ad4214c),0,GET_POW," 0"," 1"," 1"," 1",7624
ObjectId(5bbebf8624aa9a0e4ad4214b),0,GET_POW," 0"," 1"," 1"," 1",8688
ObjectId(5bbebf8724aa9a0e4ad4214d),0,GET_POW," 0"," 1"," 1"," 1",5294
ObjectId(5bbebf8724aa9a0e4ad4214e),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8824aa9a0e4ad4214f),0,GET_POW," 0"," 1"," 1"," 1",9680
ObjectId(5bbebf8824aa9a0e4ad42150),1,GET_POW," 0"," 1"," 1"," 1",577
ObjectId(5bbebf8924aa9a0e4ad42151),1,GET_POW," 0"," 1"," 1"," 1",2359
ObjectId(5bbebf8924aa9a0e4ad42153),1,GET_POW," 0"," 1"," 1"," 1",2684
ObjectId(5bbebf8924aa9a0e4ad42152),1,GET_POW," 0"," 1"," 1"," 1",9685
ObjectId(5bbebf8a24aa9a0e4ad42154),1,GET_POW," 0"," 1"," 1"," 1",1647
ObjectId(5bbebf8b24aa9a0e4ad42156),1,GET_POW," 0"," 1"," 1"," 1",9713
ObjectId(5bbebf8b24aa9a0e4ad42155),1,GET_POW," 0"," 1"," 1"," 1",4705
ObjectId(5bbebf8c24aa9a0e4ad42157),1,GET_POW," 0"," 1"," 1"," 1",9406
ObjectId(5bbebf8c24aa9a0e4ad42158),1,GET_POW," 0"," 1"," 1"," 1",57
ObjectId(5bbebf8d24aa9a0e4ad4215a),1,GET_POW," 0"," 1"," 1"," 1",6362
ObjectId(5bbebf8d24aa9a0e4ad42159),1,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf8e24aa9a0e4ad4215b),1,GET_POW," 0"," 1"," 1"," 1",7364
ObjectId(5bbebf8e24aa9a0e4ad4215c),1,GET_POW," 0"," 1"," 1"," 1",9049
ObjectId(5bbebf8f24aa9a0e4ad4215d),1,GET_POW," 0"," 1"," 1"," 1",4638
ObjectId(5bbebf8f24aa9a0e4ad4215e),1,GET_POW," 0"," 1"," 1"," 1",21
